Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2017-09-03,Texas A&M,@,UCLA,L,5,60,12.0,0,2,-1,-0.5,0,4,112,28.0,0,0,0,,0
2,2017-09-09,Texas A&M,,Nicholls State,W,6,47,7.8,1,1,28,28.0,0,2,44,22.0,0,0,0,,0
3,2017-09-16,Texas A&M,,Louisiana,W,3,34,11.3,1,0,0,,0,0,0,,0,1,0,0.0,0
4,2017-09-23,Texas A&M,N,Arkansas,W,5,110,22.0,2,0,0,,0,3,136,45.3,1,0,0,,0
5,2017-09-30,Texas A&M,,South Carolina,W,4,13,3.3,0,0,0,,0,1,10,10.0,0,1,-1,-1.0,0
6,2017-10-07,Texas A&M,,Alabama,L,4,52,13.0,1,0,0,,0,2,21,10.5,0,0,0,,0
7,2017-10-14,Texas A&M,@,Florida,W,2,44,22.0,0,0,0,,0,0,0,,0,3,58,19.3,0
8,2017-10-28,Texas A&M,,Mississippi State,L,5,33,6.6,0,0,0,,0,3,55,18.3,0,1,26,26.0,0
9,2017-11-04,Texas A&M,,Auburn,L,8,62,7.8,0,0,0,,0,0,0,,0,0,0,,0
10,2017-11-11,Texas A&M,,New Mexico,W,4,120,30.0,1,0,0,,0,0,0,,0,1,90,90.0,1
11,2017-11-18,Texas A&M,@,Mississippi,W,5,77,15.4,0,0,0,,0,3,47,15.7,0,1,2,2.0,0
12,2017-11-25,Texas A&M,@,Louisiana State,L,7,78,11.1,1,0,0,,0,3,55,18.3,0,0,0,,0
13,2017-12-29,Texas A&M,N,Wake Forest*,L,13,189,14.5,3,1,4,4.0,0,1,10,10.0,0,2,16,8.0,0