Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-09-01,Washington,@,Rutgers,W,3,85,28.3,0,0,0,,0,0,0,,0,0,0,,2,80,40.0,1,0,0,0,0.0,0.0
2,2017-09-09,Washington,,Montana,W,4,32,8.0,0,0,0,,0,0,0,,0,0,0,,1,67,67.0,1,0,0,0,0.0,0.0
3,2017-09-16,Washington,,Fresno State,W,5,92,18.4,3,0,0,,0,1,1,100.0,36,0,0,402.4,3,86,28.7,1,0,0,0,0.0,0.0
4,2017-09-23,Washington,@,Colorado,W,3,54,18.0,0,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0
5,2017-09-30,Washington,@,Oregon State,W,12,105,8.8,3,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0
6,2017-10-07,Washington,,California,W,10,48,4.8,0,0,0,,0,0,0,,0,0,0,,3,53,17.7,0,0,0,0,0.0,0.0
7,2017-10-14,Washington,@,Arizona State,L,7,56,8.0,0,0,0,,0,0,0,,0,0,0,,3,7,2.3,0,0,0,0,0.0,0.0
8,2017-10-28,Washington,,UCLA,W,1,12,12.0,0,0,17,,0,0,0,,0,0,0,,5,55,11.0,0,0,0,0,0.0,0.0
9,2017-11-04,Washington,,Oregon,W,4,87,21.8,1,0,0,,0,0,0,,0,0,0,,2,64,32.0,1,0,0,0,0.0,0.0
10,2017-11-10,Washington,@,Stanford,L,5,41,8.2,0,1,-1,-1.0,0,0,0,,0,0,0,,0,0,,0,0,1,1,0.0,0.0
11,2017-11-18,Washington,,Utah,W,6,94,15.7,0,2,34,17.0,0,0,0,,0,0,0,,1,18,18.0,0,0,0,0,0.0,0.0
12,2017-11-25,Washington,,Washington State,W,2,15,7.5,0,0,0,,0,0,0,,0,0,0,,1,-2,-2.0,0,0,0,0,0.0,0.0
13,2017-12-30,Washington,N,Penn State*,L,1,40,40.0,0,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0