Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Solo,Ast,Tot,Loss,Sk
1,2017-08-31,Utah,,North Dakota,W,10,127,12.7,1,0,0,,0,0,0,,0,0,0,0.0,0.0
2,2017-09-09,Utah,@,Brigham Young,W,7,129,18.4,0,0,0,,0,0,0,,0,0,0,0.0,0.0
3,2017-09-16,Utah,,San Jose State,W,9,153,17.0,3,0,0,,0,0,0,,1,0,1,0.0,0.0
4,2017-09-22,Utah,@,Arizona,W,4,76,19.0,0,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0.0
5,2017-10-07,Utah,,Stanford,L,7,99,14.1,1,0,0,,0,0,0,,0,0,0,0.0,0.0
6,2017-10-14,Utah,@,Southern California,L,2,9,4.5,0,0,0,,0,0,0,,0,0,0,0.0,0.0
7,2017-10-21,Utah,,Arizona State,L,6,56,9.3,0,0,0,,0,0,0,,1,0,1,0.0,0.0
8,2017-10-28,Utah,@,Oregon,L,9,130,14.4,0,0,0,,0,0,0,,0,0,0,0.0,0.0
9,2017-11-03,Utah,,UCLA,W,4,51,12.8,1,0,0,,0,0,0,,0,0,0,0.0,0.0
10,2017-11-18,Utah,@,Washington,L,2,24,12.0,0,0,0,,0,0,0,,0,0,0,0.0,0.0
11,2017-11-25,Utah,,Colorado,W,6,64,10.7,0,0,0,,0,0,0,,0,0,0,0.0,0.0
12,2017-12-26,Utah,N,West Virginia*,W,4,62,15.5,0,0,0,,0,0,0,,0,0,0,0.0,0.0