Rk,Date,School,,Opponent,,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2017-09-02,Pittsburgh,,Youngstown State,W,9,77,8.6,0,1,7,7.0,0,3,71,23.7,0,0,0,,0
2,2017-09-09,Pittsburgh,@,Penn State,L,2,-5,-2.5,0,2,5,2.5,0,2,33,16.5,0,3,0,0.0,0
3,2017-09-16,Pittsburgh,,Oklahoma State,L,1,1,1.0,0,1,74,74.0,0,5,85,17.0,0,0,0,,0
4,2017-09-23,Pittsburgh,@,Georgia Tech,L,1,2,2.0,0,2,4,2.0,0,5,122,24.4,0,3,80,26.7,1
5,2017-09-30,Pittsburgh,,Rice,W,3,19,6.3,0,2,31,15.5,0,1,36,36.0,0,2,38,19.0,0
6,2017-10-07,Pittsburgh,@,Syracuse,L,1,2,2.0,0,1,3,3.0,0,0,0,,0,1,-5,-5.0,0
7,2017-10-14,Pittsburgh,,North Carolina State,L,1,15,15.0,0,2,2,1.0,0,3,68,22.7,0,2,33,16.5,0
8,2017-10-21,Pittsburgh,@,Duke,W,6,24,4.0,0,0,0,,0,3,43,14.3,0,1,5,5.0,0
9,2017-10-28,Pittsburgh,,Virginia,W,1,25,25.0,0,2,14,7.0,0,0,0,,0,2,75,37.5,1
10,2017-11-09,Pittsburgh,,North Carolina,L,5,42,8.4,0,1,10,10.0,0,1,16,16.0,0,0,0,,0
11,2017-11-18,Pittsburgh,@,Virginia Tech,L,2,26,13.0,0,0,0,,0,1,20,20.0,0,4,6,1.5,0
12,2017-11-24,Pittsburgh,,Miami (FL),W,4,23,5.8,0,3,36,12.0,0,1,30,30.0,0,3,11,3.7,0