Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Solo,Ast,Tot,Loss,Sk,FR,Yds,TD,FF,Punts,Yds,Avg
1,2018-09-01,Clemson,,Furman,W,3,24,8.0,0,0,0,,0,0,0,,0,0,0,0.0,0.0,1,,,0,0,0,
2,2018-09-08,Clemson,@,Texas A&M,W,4,59,14.8,0,0,1,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,,,0,0,0,
3,2018-09-15,Clemson,,Georgia Southern,W,2,44,22.0,0,0,0,,0,0,0,,0,0,0,0.0,0.0,0,,,0,0,0,
4,2018-09-22,Clemson,@,Georgia Tech,W,3,28,9.3,1,0,0,,0,0,0,,0,0,0,0.0,0.0,0,,,0,0,0,
5,2018-09-29,Clemson,,Syracuse,W,3,45,15.0,0,0,0,,0,0,0,,0,0,0,0.0,0.0,0,,,0,0,0,
6,2018-10-06,Clemson,@,Wake Forest,W,2,21,10.5,0,1,1,100.0,2,0,0,116.8,0,0,0,0.0,0.0,0,,,0,1,42,42.0
7,2018-10-20,Clemson,,North Carolina State,W,5,41,8.2,0,0,0,,0,0,0,,0,0,0,0.0,0.0,0,,,0,0,0,
8,2018-10-27,Clemson,@,Florida State,W,4,28,7.0,0,0,0,,0,0,0,,0,0,0,0.0,0.0,0,,,0,0,0,
9,2018-11-03,Clemson,,Louisville,W,1,15,15.0,0,0,0,,0,0,0,,0,0,0,0.0,0.0,0,,,0,0,0,
10,2018-11-10,Clemson,@,Boston College,W,8,80,10.0,0,0,0,,0,0,0,,0,0,0,0.0,0.0,0,,,0,0,0,
11,2018-11-17,Clemson,,Duke,W,1,7,7.0,0,0,0,,0,0,0,,1,0,1,0.0,0.0,0,,,0,0,0,
12,2018-11-24,Clemson,,South Carolina,W,5,80,16.0,0,0,0,,0,0,0,,0,0,0,0.0,0.0,0,,,0,0,0,
13,2018-12-01,Clemson,N,Pittsburgh,W,2,0,0.0,0,0,0,,0,0,0,,0,0,0,0.0,0.0,0,,,0,0,0,
14,2018-12-29,Clemson,N,Notre Dame*,W,4,62,15.5,0,0,0,,0,0,0,,0,0,0,0.0,0.0,0,,,0,0,0,
15,2019-01-07,Clemson,N,Alabama*,W,2,10,5.0,0,0,0,,0,0,0,,0,0,0,0.0,0.0,0,,,0,0,0,