Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk,FR,Yds,TD,FF
1,2018-09-01,Louisville,N,Alabama,L,1,22,22.0,0,0,0,0,0.0,0.0,0,,,0
2,2018-09-08,Louisville,,Indiana State,W,2,38,19.0,1,0,0,0,0.0,0.0,0,,,0
3,2018-09-15,Louisville,,Western Kentucky,W,3,38,12.7,0,0,0,0,0.0,0.0,0,,,0
4,2018-09-22,Louisville,@,Virginia,L,2,26,13.0,0,0,0,0,0.0,0.0,0,,,0
5,2018-09-29,Louisville,,Florida State,L,5,100,20.0,0,0,0,0,0.0,0.0,0,,,0
6,2018-10-05,Louisville,,Georgia Tech,L,3,42,14.0,0,0,0,0,0.0,0.0,0,,,0
7,2018-10-13,Louisville,@,Boston College,L,0,0,,0,1,0,1,0.0,0.0,0,,,0
8,2018-10-27,Louisville,,Wake Forest,L,8,107,13.4,0,0,0,0,0.0,0.0,0,,,0
9,2018-11-03,Louisville,@,Clemson,L,5,63,12.6,0,0,0,0,0.0,0.0,0,,,0
10,2018-11-09,Louisville,@,Syracuse,L,2,27,13.5,0,2,0,2,0.0,0.0,0,,,1
11,2018-11-17,Louisville,,North Carolina State,L,3,56,18.7,0,0,0,0,0.0,0.0,0,,,0
12,2018-11-24,Louisville,,Kentucky,L,2,31,15.5,0,0,0,0,0.0,0.0,0,,,0