Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2018-09-01,Ohio State,,Oregon State,W,1,10,10.0,0,0,0,,0,0,0,0,0.0,0.0
2,2018-09-08,Ohio State,,Rutgers,W,4,89,22.3,2,1,16,16.0,0,0,0,0,0.0,0.0
3,2018-09-15,Ohio State,N,Texas Christian,W,4,39,9.8,0,1,38,38.0,0,0,0,0,0.0,0.0
4,2018-09-22,Ohio State,,Tulane,W,1,7,7.0,0,1,19,19.0,0,0,0,0,0.0,0.0
5,2018-09-29,Ohio State,@,Penn State,W,0,0,,0,0,0,,0,3,0,3,0.0,0.0
6,2018-10-06,Ohio State,,Indiana,W,5,73,14.6,1,2,45,22.5,0,0,0,0,0.0,0.0
7,2018-10-13,Ohio State,,Minnesota,W,2,8,4.0,0,0,0,,0,0,0,0,0.0,0.0
8,2018-10-20,Ohio State,@,Purdue,L,4,58,14.5,1,5,98,19.6,0,0,0,0,0.0,0.0
9,2018-11-03,Ohio State,,Nebraska,W,5,96,19.2,1,2,24,12.0,0,0,0,0,0.0,0.0
10,2018-11-17,Ohio State,@,Maryland,W,6,102,17.0,0,1,0,0.0,0,0,0,0,0.0,0.0
11,2018-11-24,Ohio State,,Michigan,W,1,31,31.0,1,0,0,,0,0,0,0,0.0,0.0
12,2018-12-01,Ohio State,N,Northwestern,W,7,129,18.4,1,0,0,,0,1,1,2,0.0,0.0
13,2019-01-01,Ohio State,N,Washington*,W,2,27,13.5,1,0,0,,0,0,0,0,0.0,0.0