Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2018-09-01,Ohio State,,Oregon State,W,4,22,5.5,1,0,0,,0,0,0,0,0.0,0.0
2,2018-09-08,Ohio State,,Rutgers,W,5,64,12.8,1,1,-2,-2.0,0,0,0,0,0.0,0.0
3,2018-09-15,Ohio State,N,Texas Christian,W,2,66,33.0,1,1,-6,-6.0,0,0,0,0,0.0,0.0
4,2018-09-22,Ohio State,,Tulane,W,8,147,18.4,2,0,0,,0,0,0,0,0.0,0.0
5,2018-09-29,Ohio State,@,Penn State,W,7,60,8.6,0,2,19,9.5,0,0,0,0,0.0,0.0
6,2018-10-06,Ohio State,,Indiana,W,9,142,15.8,2,0,0,,0,0,0,0,0.0,0.0
7,2018-10-13,Ohio State,,Minnesota,W,8,56,7.0,0,0,0,,0,0,1,1,0.0,0.0
8,2018-10-20,Ohio State,@,Purdue,L,9,43,4.8,0,0,0,,0,1,0,1,0.0,0.0
9,2018-11-03,Ohio State,,Nebraska,W,4,31,7.8,1,2,-4,-2.0,0,0,0,0,0.0,0.0
10,2018-11-10,Ohio State,@,Michigan State,W,6,42,7.0,1,2,9,4.5,0,0,0,0,0.0,0.0
11,2018-11-17,Ohio State,@,Maryland,W,4,38,9.5,0,1,8,8.0,0,0,0,0,0.0,0.0
12,2018-11-24,Ohio State,,Michigan,W,6,192,32.0,2,0,0,,0,0,0,0,0.0,0.0
13,2018-12-01,Ohio State,N,Northwestern,W,7,89,12.7,0,0,0,,0,0,0,0,0.0,0.0
14,2019-01-01,Ohio State,N,Washington*,W,11,71,6.5,1,0,0,,0,0,0,0,0.0,0.0