Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk,Int,Yds,TD,PD
1,2019-08-31,Texas,,Louisiana Tech,W,9,55,6.1,1,2,4,2.0,0,0,0,,0,0,0,,1,36,36.0,0,0,0,0,0.0,0.0,0,0,0,0
2,2019-09-07,Texas,,Louisiana State,L,12,154,12.8,2,1,0,0.0,0,1,1,100.0,8,0,0,167.2,0,0,,0,0,0,0,0.0,0.0,0,0,0,0
3,2019-09-14,Texas,N,Rice,W,6,60,10.0,0,0,0,,0,0,0,,0,0,0,,1,9,9.0,0,1,1,2,0.0,0.0,0,0,0,1
4,2019-09-21,Texas,,Oklahoma State,W,12,108,9.0,1,0,0,,0,0,0,,0,0,0,,2,45,22.5,0,0,0,0,0.0,0.0,0,0,0,0
5,2019-10-05,Texas,@,West Virginia,W,6,86,14.3,0,1,13,13.0,1,0,0,,0,0,0,,2,36,18.0,0,0,0,0,0.0,0.0,0,0,0,0
6,2019-10-12,Texas,N,Oklahoma,L,8,54,6.8,0,3,5,1.7,0,0,0,,0,0,0,,4,79,19.8,0,0,0,0,0.0,0.0,0,0,0,0
7,2019-10-19,Texas,,Kansas,W,8,110,13.8,2,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0,0,0,0,0
8,2019-10-26,Texas,@,Texas Christian,L,8,173,21.6,1,0,0,,0,0,0,,0,0,0,,0,0,,0,1,0,1,0.0,0.0,0,0,0,0
9,2019-11-09,Texas,,Kansas State,W,9,110,12.2,0,0,0,,0,0,0,,0,0,0,,0,0,,0,0,1,1,0.0,0.0,0,0,0,0
10,2019-11-16,Texas,@,Iowa State,L,9,107,11.9,0,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0,0,0,0,0
11,2019-11-23,Texas,@,Baylor,L,10,78,7.8,0,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0,0,0,0,0
12,2019-11-29,Texas,,Texas Tech,W,6,199,33.2,1,2,10,5.0,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0,0,0,0,0
13,2019-12-31,Texas,N,Utah*,W,3,92,30.7,1,1,-8,-8.0,0,1,1,100.0,6,0,0,150.4,0,0,,0,0,0,0,0.0,0.0,0,0,0,0