Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD
1,2019-08-30,Oregon State,,Oklahoma State,L,9,170,18.9,2
2,2019-09-07,Oregon State,@,Hawaii,L,7,96,13.7,1
3,2019-09-14,Oregon State,,Cal Poly,W,7,81,11.6,2
4,2019-09-28,Oregon State,,Stanford,L,10,162,16.2,1
5,2019-10-05,Oregon State,@,UCLA,W,10,123,12.3,3
6,2019-10-12,Oregon State,,Utah,L,8,77,9.6,0
7,2019-10-19,Oregon State,@,California,W,5,36,7.2,1
8,2019-11-02,Oregon State,@,Arizona,W,7,150,21.4,2
9,2019-11-08,Oregon State,,Washington,L,4,33,8.3,0
10,2019-11-16,Oregon State,,Arizona State,W,6,93,15.5,1
11,2019-11-23,Oregon State,@,Washington State,L,5,65,13.0,0
12,2019-11-30,Oregon State,@,Oregon,L,8,85,10.6,0