Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk,FR,Yds,TD,FF
1,2019-08-31,Texas Christian,,Arkansas-Pine Bluff,W,5,71,14.2,1,0,0,,0,0,0,,0,6,62,10.3,0,0,0,0,0.0,0.0,0,,,0
2,2019-09-14,Texas Christian,@,Purdue,W,3,29,9.7,0,3,11,3.7,0,0,0,,0,1,8,8.0,0,0,0,0,0.0,0.0,0,,,0
3,2019-09-21,Texas Christian,,Southern Methodist,L,2,2,1.0,0,1,29,29.0,0,2,17,8.5,0,1,23,23.0,0,0,0,0,0.0,0.0,0,,,0
4,2019-09-28,Texas Christian,,Kansas,W,1,15,15.0,0,1,4,4.0,0,0,0,,0,4,139,34.8,1,0,0,0,0.0,0.0,0,,0,0
5,2019-10-05,Texas Christian,@,Iowa State,L,4,69,17.3,2,1,0,0.0,0,1,11,11.0,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
6,2019-10-19,Texas Christian,@,Kansas State,L,8,85,10.6,0,1,5,5.0,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
7,2019-10-26,Texas Christian,,Texas,W,2,55,27.5,1,3,15,5.0,0,1,26,26.0,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
8,2019-11-02,Texas Christian,@,Oklahoma State,L,7,128,18.3,0,0,0,,0,0,0,,0,1,7,7.0,0,1,0,1,0.0,0.0,0,,,1
9,2019-11-09,Texas Christian,,Baylor,L,1,8,8.0,0,2,4,2.0,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
10,2019-11-16,Texas Christian,@,Texas Tech,W,3,83,27.7,1,1,5,5.0,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
11,2019-11-23,Texas Christian,@,Oklahoma,L,1,9,9.0,0,1,16,16.0,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
12,2019-11-29,Texas Christian,,West Virginia,L,6,57,9.5,0,0,0,,0,1,18,18.0,0,2,73,36.5,1,0,0,0,0.0,0.0,0,,,0