Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-31,Virginia,@,Pittsburgh,W,7,34,4.9,0,0,0,,0,2,48,24.0,0,0,0,0,0.0,0.0
2,2019-09-06,Virginia,,William & Mary,W,4,58,14.5,1,0,0,,0,1,100,100.0,1,0,0,0,0.0,0.0
3,2019-09-14,Virginia,,Florida State,W,8,83,10.4,1,1,22,22.0,0,1,35,35.0,0,1,0,1,0.0,0.0
4,2019-09-21,Virginia,,Old Dominion,W,4,40,10.0,1,0,0,,0,4,119,29.8,0,0,0,0,0.0,0.0
5,2019-09-28,Virginia,@,Notre Dame,L,9,107,11.9,1,1,3,3.0,0,2,39,19.5,0,0,0,0,0.0,0.0
6,2019-10-11,Virginia,@,Miami (FL),L,5,33,6.6,0,0,0,,0,3,112,37.3,0,0,0,0,0.0,0.0
7,2019-10-19,Virginia,,Duke,W,5,45,9.0,0,1,-4,-4.0,0,2,138,69.0,1,0,0,0,0.0,0.0
8,2019-10-26,Virginia,@,Louisville,L,8,48,6.0,0,1,2,2.0,0,3,94,31.3,0,0,0,0,0.0,0.0
9,2019-11-02,Virginia,@,North Carolina,W,6,55,9.2,0,0,0,,0,3,58,19.3,0,0,0,0,0.0,0.0
10,2019-11-09,Virginia,,Georgia Tech,W,5,27,5.4,1,2,5,2.5,0,0,0,,0,0,0,0,0.0,0.0
11,2019-11-23,Virginia,,Liberty,W,4,31,7.8,1,0,0,,0,0,0,,0,0,0,0,0.0,0.0
12,2019-11-29,Virginia,,Virginia Tech,W,5,66,13.2,0,0,0,,0,1,21,21.0,0,0,0,0,0.0,0.0
13,2019-12-30,Virginia,N,Florida*,L,7,52,7.4,1,2,14,7.0,0,2,32,16.0,0,0,0,0,0.0,0.0