Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2019-08-31,Tennessee,,Georgia State,L,3,46,15.3,1,0,0,,0,1,35,35.0,0
2,2019-09-07,Tennessee,,Brigham Young,L,4,22,5.5,0,0,0,,0,1,-4,-4.0,0
3,2019-09-14,Tennessee,,Chattanooga,W,2,59,29.5,1,0,0,,0,0,0,,0
4,2019-09-21,Tennessee,@,Florida,L,1,27,27.0,0,0,0,,0,1,0,0.0,0
5,2019-10-05,Tennessee,,Georgia,L,3,105,35.0,1,0,0,,0,0,0,,0
6,2019-10-12,Tennessee,,Mississippi State,W,0,0,,0,0,0,,0,1,13,13.0,0
7,2019-10-19,Tennessee,@,Alabama,L,1,13,13.0,0,2,37,18.5,0,1,22,22.0,0
8,2019-10-26,Tennessee,,South Carolina,W,3,102,34.0,1,0,0,,0,1,65,65.0,1
9,2019-11-02,Tennessee,,Alabama-Birmingham,W,1,10,10.0,0,0,0,,0,1,10,10.0,0
10,2019-11-09,Tennessee,@,Kentucky,W,4,103,25.8,1,0,0,,0,0,0,,0
11,2019-11-23,Tennessee,@,Missouri,W,6,110,18.3,1,0,0,,0,2,14,7.0,0
12,2019-11-30,Tennessee,,Vanderbilt,W,1,19,19.0,0,0,0,,0,1,-5,-5.0,0
13,2020-01-02,Tennessee,N,Indiana*,W,1,19,19.0,0,0,0,,0,1,4,4.0,0