Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-31,Southern California,,Fresno State,W,6,28,4.7,0,0,0,,0,0,0,,0,1,0,1,0.0,0.0
2,2019-09-07,Southern California,,Stanford,W,6,82,13.7,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
3,2019-09-14,Southern California,@,Brigham Young,L,9,95,10.6,2,0,0,,0,0,0,,0,0,0,0,0.0,0.0
4,2019-09-20,Southern California,,Utah,W,10,232,23.2,1,0,0,,0,0,0,,0,0,0,0,0.0,0.0
5,2019-09-28,Southern California,@,Washington,L,4,64,16.0,1,0,0,,0,1,0,0.0,0,1,0,1,0.0,0.0
6,2019-10-12,Southern California,@,Notre Dame,L,4,29,7.3,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
7,2019-10-19,Southern California,,Arizona,W,4,69,17.3,1,0,0,,0,0,0,,0,0,0,0,0.0,0.0
8,2019-10-25,Southern California,@,Colorado,W,7,156,22.3,2,0,0,,0,0,0,,0,0,0,0,0.0,0.0
9,2019-11-02,Southern California,,Oregon,L,8,37,4.6,1,0,0,,0,0,0,,0,0,0,0,0.0,0.0
10,2019-11-09,Southern California,@,Arizona State,W,13,146,11.2,0,0,0,,0,0,0,,0,1,0,1,0.0,0.0
11,2019-11-16,Southern California,@,California,W,11,180,16.4,1,1,0,0.0,0,0,0,,0,0,0,0,0.0,0.0
12,2019-11-23,Southern California,,UCLA,W,13,104,8.0,2,0,0,,0,0,0,,0,0,0,0,0.0,0.0
13,2019-12-27,Southern California,N,Iowa*,L,6,53,8.8,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0