Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD
1,2019-08-31,Syracuse,@,Liberty,W,3,21,7.0,0,0,0,,0
2,2019-09-07,Syracuse,@,Maryland,L,7,157,22.4,2,0,0,,0
3,2019-09-14,Syracuse,,Clemson,L,2,16,8.0,0,0,0,,0
4,2019-09-21,Syracuse,,Western Michigan,W,6,141,23.5,2,0,0,,0
5,2019-09-28,Syracuse,,Holy Cross,W,6,58,9.7,1,0,0,,0
6,2019-10-10,Syracuse,@,North Carolina State,L,9,106,11.8,1,0,0,,0
7,2019-10-18,Syracuse,,Pittsburgh,L,5,76,15.2,0,0,0,,0
8,2019-10-26,Syracuse,@,Florida State,L,5,57,11.4,0,1,-2,-2.0,0
9,2019-11-02,Syracuse,,Boston College,L,8,148,18.5,2,0,0,,0
10,2019-11-16,Syracuse,@,Duke,W,2,68,34.0,1,0,0,,0
11,2019-11-23,Syracuse,@,Louisville,L,3,64,21.3,1,1,5,5.0,0
12,2019-11-30,Syracuse,,Wake Forest,W,10,111,11.1,1,0,0,,0