Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk,FR,Yds,TD,FF
1,2019-08-24,Florida,N,Miami (FL),W,1,14,14.0,0,0,0,,0,0,0,0,0.0,0.0,1,,,0
2,2019-09-07,Florida,,Tennessee-Martin,W,4,94,23.5,1,0,0,,0,1,0,1,0.0,0.0,0,,,0
3,2019-09-14,Florida,@,Kentucky,W,7,93,13.3,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
4,2019-09-21,Florida,,Tennessee,W,4,31,7.8,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
5,2019-09-28,Florida,,Towson,W,2,16,8.0,0,1,7,7.0,0,0,0,0,0.0,0.0,0,,,0
6,2019-10-05,Florida,,Auburn,W,1,10,10.0,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
7,2019-10-12,Florida,@,Louisiana State,L,8,73,9.1,2,0,0,,0,0,0,0,0.0,0.0,0,,,0
8,2019-11-02,Florida,N,Georgia,L,2,31,15.5,1,0,0,,0,0,0,0,0.0,0.0,0,,,0
9,2019-11-09,Florida,,Vanderbilt,W,3,36,12.0,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
10,2019-11-16,Florida,@,Missouri,W,6,82,13.7,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
11,2019-11-30,Florida,,Florida State,W,5,48,9.6,2,0,0,,0,0,0,0,0.0,0.0,0,,,0
12,2019-12-30,Florida,N,Virginia*,W,6,129,21.5,0,0,0,,0,0,0,0,0.0,0.0,0,,,0